SKP_v1_wild	SKP_v2_wild	score	bit_score	E_value	log_E_value	per_identity
1A22_A	1A22_A	952.0	371.318	2.42709e-136	-312.264879638315	100.0
1A22_B	1A22_A	19.0	11.927	1383.64	7.232472986734747	100.0
1A4Y_A	1A22_A	22.0	13.0826	613.187	6.418669946512004	35.714285714285715
1A4Y_B	1A22_A	24.0	13.853	344.255	5.841382661831537	26.47058823529412
1ACB_A	1A22_A	21.0	12.6974	950.005	6.856467247738631	46.666666666666664
1ACB_B	1A22_A	24.0	13.853	265.165	5.5803522737348565	24.324324324324326
1AK4_A	1A22_A	13.0	9.61583	8381.17	9.033742801868849	21.73913043478261
1AK4_B	1A22_A	28.0	15.3938	90.3818	4.504042919695414	40.0
1B2S_A	1A22_A	21.0	12.6974	826.324	6.716986948426326	35.294117647058826
1B2S_B	1A22_A	0.0	0.0	inf	inf	0.0
1B2U_A	1A22_A	21.0	12.6974	826.324	6.716986948426326	35.294117647058826
1B2U_B	1A22_A	0.0	0.0	inf	inf	0.0
1B3S_A	1A22_A	21.0	12.6974	818.681	6.70769450858898	35.294117647058826
1B3S_B	1A22_A	0.0	0.0	inf	inf	0.0
1BRS_A	1A22_A	21.0	12.6974	744.37	6.612538223042504	35.294117647058826
1BRS_B	1A22_A	23.0	13.4678	471.284	6.155460884700754	26.190476190476193
1CSE_A	1A22_A	18.0	11.5418	2267.59	7.7264728724915805	40.0
1CSE_B	1A22_A	0.0	0.0	inf	inf	0.0
1CSO_A	1A22_A	21.0	12.6974	767.964	6.643742857049005	50.0
1CSO_B	1A22_A	0.0	0.0	inf	inf	0.0
1CT0_A	1A22_A	21.0	12.6974	767.964	6.643742857049005	50.0
1CT0_B	1A22_A	0.0	0.0	inf	inf	0.0
1CT2_A	1A22_A	21.0	12.6974	767.964	6.643742857049005	50.0
1CT2_B	1A22_A	0.0	0.0	inf	inf	0.0
1CT4_A	1A22_A	21.0	12.6974	767.964	6.643742857049005	50.0
1CT4_B	1A22_A	0.0	0.0	inf	inf	0.0
1E96_A	1A22_A	28.0	15.3938	111.69	4.715727176552735	24.675324675324674
1E96_B	1A22_A	40.0	20.0162	3.46371	1.2423402689508172	35.714285714285715
1EAW_A	1A22_A	15.0	10.3862	4340.78	8.375809334448421	28.57142857142857
1EAW_B	1A22_A	0.0	0.0	inf	inf	0.0
1EFN_A	1A22_A	0.0	0.0	inf	inf	0.0
1EFN_B	1A22_A	27.0	15.0086	129.221	4.861524116840209	23.333333333333332
1EMV_A	1A22_A	17.0	11.1566	2457.77	7.807009713738083	33.33333333333333
1EMV_B	1A22_A	31.0	16.5494	45.4648	3.8169384001799678	24.074074074074073
1F47_A	1A22_A	0.0	0.0	inf	inf	0.0
1F47_B	1A22_A	17.0	11.1566	2852.61	7.955989643657039	60.0
1FC2_A	1A22_A	23.0	13.4678	308.096	5.730411422720552	44.44444444444444
1FC2_B	1A22_A	30.0	16.1642	58.5256	4.06946426535347	29.03225806451613
1FCC_A	1A22_A	30.0	16.1642	59.5452	4.086735688018584	29.03225806451613
1FCC_B	1A22_A	20.0	12.3122	1066.93	6.97254064465109	17.391304347826086
1FFW_A	1A22_A	15.0	10.3862	4452.7	8.401265932740072	46.666666666666664
1FFW_B	1A22_A	0.0	0.0	inf	inf	0.0
1FR2_A	1A22_A	19.0	11.927	1355.11	7.211637910830626	33.33333333333333
1FR2_B	1A22_A	31.0	16.5494	46.3114	3.8353881510873205	24.074074074074073
1GC1_A	1A22_A	26.0	14.6234	201.215	5.304373988130568	23.170731707317074
1GC1_B	1A22_A	12.0	9.23063	12419.9	9.427055303925265	40.0
1GL0_A	1A22_A	21.0	12.6974	958.548	6.865419639479087	46.666666666666664
1GL0_B	1A22_A	0.0	0.0	inf	inf	0.0
1GL1_A	1A22_A	21.0	12.6974	941.176	6.847130157165577	46.666666666666664
1GL1_B	1A22_A	0.0	0.0	inf	inf	0.0
1H9D_A	1A22_A	0.0	0.0	inf	inf	0.0
1H9D_B	1A22_A	25.0	14.2382	284.143	5.649477632563741	100.0
1HE8_A	1A22_A	32.0	16.9346	34.8631	3.551428963275211	33.33333333333333
1HE8_B	1A22_A	23.0	13.4678	524.97	6.263341118101765	29.411764705882355
1IAR_A	1A22_A	27.0	15.0086	129.999	4.867526758118304	41.66666666666667
1IAR_B	1A22_A	0.0	0.0	inf	inf	0.0
1JCK_A	1A22_A	22.0	13.0826	651.688	6.479565919788416	34.48275862068966
1JCK_B	1A22_A	25.0	14.2382	256.357	5.546571004273904	28.888888888888886
1JTG_A	1A22_A	18.0	11.5418	2109.76	7.654329475924935	31.25
1JTG_B	1A22_A	19.0	11.927	1559.7	7.35224877405778	55.55555555555556
1KAC_A	1A22_A	19.0	11.927	1285.14	7.158622940811106	23.076923076923077
1KAC_B	1A22_A	12.0	9.23063	12728.8	9.451622421593648	100.0
1KTZ_A	1A22_A	0.0	0.0	inf	inf	0.0
1KTZ_B	1A22_A	0.0	0.0	inf	inf	0.0
1LFD_A	1A22_A	17.0	11.1566	2680.84	7.893885457230914	20.0
1LFD_B	1A22_A	23.0	13.4678	506.508	6.227540118233303	29.411764705882355
1M9E_A	1A22_A	13.0	9.61583	8158.51	9.006816833245885	21.73913043478261
1M9E_B	1A22_A	29.0	15.779	86.5243	4.460425299341326	36.84210526315789
1MAH_A	1A22_A	38.0	19.2458	6.13092	1.8133448202530769	28.000000000000004
1MAH_B	1A22_A	16.0	10.7714	3354.39	8.118025214693034	21.818181818181817
1P69_A	1A22_A	20.0	12.3122	1262.15	7.140571894992034	23.076923076923077
1P69_B	1A22_A	12.0	9.23063	12728.8	9.451622421593648	100.0
1P6A_A	1A22_A	19.0	11.927	1308.55	7.17667493293293	23.076923076923077
1P6A_B	1A22_A	12.0	9.23063	12728.8	9.451622421593648	100.0
1PPF_A	1A22_A	27.0	15.0086	149.317	5.006071562764994	38.46153846153847
1PPF_B	1A22_A	0.0	0.0	inf	inf	0.0
1R0R_A	1A22_A	18.0	11.5418	2267.59	7.7264728724915805	40.0
1R0R_B	1A22_A	0.0	0.0	inf	inf	0.0
1S0W_A	1A22_A	17.0	11.1566	2521.67	7.832676659430539	31.25
1S0W_B	1A22_A	19.0	11.927	1490.59	7.306927293717187	55.55555555555556
1S1Q_A	1A22_A	27.0	15.0086	131.636	4.880040537712536	25.0
1S1Q_B	1A22_A	0.0	0.0	inf	inf	0.0
1SBB_A	1A22_A	22.0	13.0826	651.688	6.479565919788416	34.48275862068966
1SBB_B	1A22_A	20.0	12.3122	1253.38	7.133599181065214	50.0
1SBN_A	1A22_A	13.0	9.61583	8233.09	9.01591667885534	40.0
1SBN_B	1A22_A	0.0	0.0	inf	inf	0.0
1SGD_A	1A22_A	21.0	12.6974	781.975	6.661822770724819	50.0
1SGD_B	1A22_A	0.0	0.0	inf	inf	0.0
1SGE_A	1A22_A	21.0	12.6974	781.975	6.661822770724819	50.0
1SGE_B	1A22_A	0.0	0.0	inf	inf	0.0
1SGN_A	1A22_A	21.0	12.6974	781.975	6.661822770724819	50.0
1SGN_B	1A22_A	0.0	0.0	inf	inf	0.0
1SGP_A	1A22_A	21.0	12.6974	767.964	6.643742857049005	50.0
1SGP_B	1A22_A	0.0	0.0	inf	inf	0.0
1SGQ_A	1A22_A	21.0	12.6974	767.964	6.643742857049005	50.0
1SGQ_B	1A22_A	0.0	0.0	inf	inf	0.0
1SGY_A	1A22_A	21.0	12.6974	781.975	6.661822770724819	50.0
1SGY_B	1A22_A	0.0	0.0	inf	inf	0.0
1SIB_A	1A22_A	13.0	9.61583	8233.09	9.01591667885534	40.0
1SIB_B	1A22_A	24.0	13.853	259.92	5.560373891360845	24.324324324324326
1TM1_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1TM1_B	1A22_A	0.0	0.0	inf	inf	0.0
1TM3_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1TM3_B	1A22_A	0.0	0.0	inf	inf	0.0
1TM4_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1TM4_B	1A22_A	0.0	0.0	inf	inf	0.0
1TM5_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1TM5_B	1A22_A	0.0	0.0	inf	inf	0.0
1TM7_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1TM7_B	1A22_A	0.0	0.0	inf	inf	0.0
1TMG_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1TMG_B	1A22_A	0.0	0.0	inf	inf	0.0
1TO1_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1TO1_B	1A22_A	0.0	0.0	inf	inf	0.0
1UUZ_A	1A22_A	15.0	10.3862	4834.22	8.48347507119184	38.46153846153847
1UUZ_B	1A22_A	16.0	10.7714	3575.89	8.181969375193889	26.31578947368421
1X1X_A	1A22_A	21.0	12.6974	796.171	6.679813986893588	35.294117647058826
1X1X_B	1A22_A	19.0	11.927	1485.15	7.303271056236634	22.727272727272727
1XD3_A	1A22_A	28.0	15.3938	127.662	4.8493861463196355	23.404255319148938
1XD3_B	1A22_A	0.0	0.0	inf	inf	0.0
1Y1K_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1Y1K_B	1A22_A	0.0	0.0	inf	inf	0.0
1Y33_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1Y33_B	1A22_A	0.0	0.0	inf	inf	0.0
1Y34_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1Y34_B	1A22_A	15.0	10.3862	4272.98	8.360066755080766	40.0
1Y3B_A	1A22_A	13.0	9.61583	8452.88	9.04226249068478	40.0
1Y3B_B	1A22_A	0.0	0.0	inf	inf	0.0
1Z7X_A	1A22_A	22.0	13.0826	613.187	6.418669946512004	35.714285714285715
1Z7X_B	1A22_A	30.0	16.1642	58.7747	4.0737114902021325	35.714285714285715
2A9K_A	1A22_A	29.0	15.779	80.5512	4.388893007091159	60.0
2A9K_B	1A22_A	17.0	11.1566	2488.39	7.81939119398627	30.0
2AJF_A	1A22_A	24.0	13.853	404.56	6.0028000567717275	45.45454545454545
2AJF_B	1A22_A	13.0	9.61583	9410.51	9.149582428772847	50.0
2B0Z_A	1A22_A	32.0	16.9346	32.1959	3.4718391152507664	34.78260869565217
2B0Z_B	1A22_A	30.0	16.1642	56.0327	4.025935448886628	33.33333333333333
2B10_A	1A22_A	32.0	16.9346	32.1959	3.4718391152507664	34.78260869565217
2B10_B	1A22_A	30.0	16.1642	51.5084	3.9417449011653396	33.33333333333333
2B11_A	1A22_A	32.0	16.9346	32.1959	3.4718391152507664	34.78260869565217
2B11_B	1A22_A	30.0	16.1642	52.4813	3.9604569156704925	33.33333333333333
2B12_A	1A22_A	32.0	16.9346	32.1959	3.4718391152507664	34.78260869565217
2B12_B	1A22_A	30.0	16.1642	52.4813	3.9604569156704925	33.33333333333333
2B42_A	1A22_A	25.0	14.2382	252.52	5.5314904534994245	45.45454545454545
2B42_B	1A22_A	18.0	11.5418	2268.08	7.726688937594159	20.0
2BTF_A	1A22_A	28.0	15.3938	108.647	4.688104094724361	71.42857142857143
2BTF_B	1A22_A	0.0	0.0	inf	inf	0.0
2FTL_A	1A22_A	20.0	12.3122	1194.94	7.085851253900066	57.14285714285714
2FTL_B	1A22_A	0.0	0.0	inf	inf	0.0
2G2U_A	1A22_A	18.0	11.5418	2266.21	7.725864111609928	23.809523809523807
2G2U_B	1A22_A	19.0	11.927	1559.7	7.35224877405778	55.55555555555556
2G2W_A	1A22_A	17.0	11.1566	2412.08	7.788244724792901	23.809523809523807
2G2W_B	1A22_A	22.0	13.0826	646.372	6.471375189437001	46.15384615384615
2GYK_A	1A22_A	16.0	10.7714	3353.66	8.117807565747997	40.0
2GYK_B	1A22_A	31.0	16.5494	38.7757	3.6577937617687684	23.728813559322035
2HLE_A	1A22_A	22.0	13.0826	560.314	6.328497340873392	35.294117647058826
2HLE_B	1A22_A	29.0	15.779	80.8029	4.392012855972089	60.0
2HRK_A	1A22_A	0.0	0.0	inf	inf	0.0
2HRK_B	1A22_A	16.0	10.7714	3028.66	8.015875556460175	75.0
2I26_A	1A22_A	0.0	0.0	inf	inf	0.0
2I26_B	1A22_A	16.0	10.7714	3575.89	8.181969375193889	26.31578947368421
2I9B_A	1A22_A	35.0	18.0902	14.1914	2.6526361473341655	42.857142857142854
2I9B_B	1A22_A	27.0	15.0086	168.165	5.124945640273666	66.66666666666666
2J0T_A	1A22_A	20.0	12.3122	1073.75	6.9789124732984655	40.0
2J0T_B	1A22_A	0.0	0.0	inf	inf	0.0
2J1K_A	1A22_A	12.0	9.23063	11049.6	9.310149507195673	66.66666666666666
2J1K_B	1A22_A	12.0	9.23063	12990.2	9.471950506004935	100.0
2NU0_A	1A22_A	21.0	12.6974	781.975	6.661822770724819	50.0
2NU0_B	1A22_A	0.0	0.0	inf	inf	0.0
2NU1_A	1A22_A	21.0	12.6974	781.975	6.661822770724819	50.0
2NU1_B	1A22_A	0.0	0.0	inf	inf	0.0
2NU2_A	1A22_A	21.0	12.6974	781.975	6.661822770724819	50.0
2NU2_B	1A22_A	0.0	0.0	inf	inf	0.0
2NU4_A	1A22_A	21.0	12.6974	781.975	6.661822770724819	50.0
2NU4_B	1A22_A	0.0	0.0	inf	inf	0.0
2O3B_A	1A22_A	34.0	17.705	19.4617	2.9684484316267925	46.15384615384615
2O3B_B	1A22_A	37.0	18.8606	6.58711	1.8851147090788587	41.37931034482759
2OOB_A	1A22_A	0.0	0.0	inf	inf	0.0
2OOB_B	1A22_A	0.0	0.0	inf	inf	0.0
2PCB_A	1A22_A	32.0	16.9346	31.9094	3.462900637230267	34.78260869565217
2PCB_B	1A22_A	32.0	16.9346	32.6683	3.486405188752504	39.39393939393939
2PCC_A	1A22_A	32.0	16.9346	31.9094	3.462900637230267	34.78260869565217
2PCC_B	1A22_A	30.0	16.1642	52.9746	3.969812553394379	33.33333333333333
2SGP_A	1A22_A	21.0	12.6974	781.975	6.661822770724819	50.0
2SGP_B	1A22_A	0.0	0.0	inf	inf	0.0
2SGQ_A	1A22_A	21.0	12.6974	781.975	6.661822770724819	50.0
2SGQ_B	1A22_A	0.0	0.0	inf	inf	0.0
2SIC_A	1A22_A	13.0	9.61583	8233.09	9.01591667885534	40.0
2SIC_B	1A22_A	0.0	0.0	inf	inf	0.0
2VLN_A	1A22_A	17.0	11.1566	2721.89	7.909081770932686	33.33333333333333
2VLN_B	1A22_A	31.0	16.5494	44.0987	3.7864303035602522	24.074074074074073
2VLO_A	1A22_A	18.0	11.5418	2184.55	7.689165136662397	33.33333333333333
2VLO_B	1A22_A	31.0	16.5494	41.5487	3.726866233206695	24.074074074074073
2VLQ_A	1A22_A	17.0	11.1566	2459.28	7.807623903159572	33.33333333333333
2VLQ_B	1A22_A	36.0	18.4754	10.059	2.308467756152201	25.925925925925924
2WPT_A	1A22_A	25.0	14.2382	205.685	5.326345872269317	24.137931034482758
2WPT_B	1A22_A	32.0	16.9346	34.3739	3.5372975554747246	25.925925925925924
3BK3_A	1A22_A	0.0	0.0	inf	inf	0.0
3BK3_B	1A22_A	0.0	0.0	inf	inf	0.0
3BP8_A	1A22_A	25.0	14.2382	316.065	5.7559478886368804	31.25
3BP8_B	1A22_A	0.0	0.0	inf	inf	0.0
3BTD_A	1A22_A	20.0	12.3122	1195.17	7.086043713661926	57.14285714285714
3BTD_B	1A22_A	0.0	0.0	inf	inf	0.0
3BTE_A	1A22_A	20.0	12.3122	1195.17	7.086043713661926	57.14285714285714
3BTE_B	1A22_A	0.0	0.0	inf	inf	0.0
3BTF_A	1A22_A	20.0	12.3122	1195.17	7.086043713661926	57.14285714285714
3BTF_B	1A22_A	31.0	16.5494	28.1317	3.3368970543763985	42.857142857142854
3BTG_A	1A22_A	20.0	12.3122	1195.17	7.086043713661926	57.14285714285714
3BTG_B	1A22_A	0.0	0.0	inf	inf	0.0
3BTH_A	1A22_A	20.0	12.3122	1227.31	7.112580061537351	57.14285714285714
3BTH_B	1A22_A	0.0	0.0	inf	inf	0.0
3BTM_A	1A22_A	20.0	12.3122	1195.17	7.086043713661926	57.14285714285714
3BTM_B	1A22_A	0.0	0.0	inf	inf	0.0
3BTQ_A	1A22_A	20.0	12.3122	1195.17	7.086043713661926	57.14285714285714
3BTQ_B	1A22_A	0.0	0.0	inf	inf	0.0
3BTT_A	1A22_A	20.0	12.3122	1195.17	7.086043713661926	57.14285714285714
3BTT_B	1A22_A	0.0	0.0	inf	inf	0.0
3BTW_A	1A22_A	20.0	12.3122	1194.94	7.085851253900066	57.14285714285714
3BTW_B	1A22_A	25.0	14.2382	173.26	5.154793356461994	35.714285714285715
3SGB_A	1A22_A	21.0	12.6974	767.964	6.643742857049005	50.0
3SGB_B	1A22_A	0.0	0.0	inf	inf	0.0
4CPA_A	1A22_A	25.0	14.2382	245.465	5.503154370879604	26.31578947368421
4CPA_B	1A22_A	0.0	0.0	inf	inf	0.0
1A22_A	1A22_B	19.0	11.927	1543.9	7.342066961647881	100.0
1A22_B	1A22_B	1032.0	402.134	3.74524e-148	-339.4621080627557	100.0
1A4Y_A	1A22_B	39.0	19.631	5.37133	1.681075550108323	25.0
1A4Y_B	1A22_B	0.0	0.0	inf	inf	0.0
1ACB_A	1A22_B	20.0	12.3122	1045.1	6.951867853600458	31.57894736842105
1ACB_B	1A22_B	19.0	11.927	1469.82	7.292895223295702	18.51851851851852
1AK4_A	1A22_B	18.0	11.5418	2148.16	7.672366940750386	40.0
1AK4_B	1A22_B	34.0	17.705	17.5766	2.866568471959812	30.952380952380953
1B2S_A	1A22_B	30.0	16.1642	54.3272	3.995025022331255	29.166666666666668
1B2S_B	1A22_B	24.0	13.853	375.361	5.927888229570684	46.15384615384615
1B2U_A	1A22_B	30.0	16.1642	54.3272	3.995025022331255	29.166666666666668
1B2U_B	1A22_B	24.0	13.853	351.247	5.861489679686215	46.15384615384615
1B3S_A	1A22_B	30.0	16.1642	60.1938	4.097569356977715	29.166666666666668
1B3S_B	1A22_B	24.0	13.853	347.93	5.852001310115928	46.15384615384615
1BRS_A	1A22_B	30.0	16.1642	63.8557	4.156625850224683	29.166666666666668
1BRS_B	1A22_B	0.0	0.0	inf	inf	0.0
1CSE_A	1A22_B	20.0	12.3122	1079.24	6.984012368698891	33.33333333333333
1CSE_B	1A22_B	20.0	12.3122	1086.49	6.990707595788505	18.51851851851852
1CSO_A	1A22_B	16.0	10.7714	3832.76	8.251340449279848	26.31578947368421
1CSO_B	1A22_B	12.0	9.23063	10934.7	9.299696497892276	40.0
1CT0_A	1A22_B	16.0	10.7714	3832.76	8.251340449279848	26.31578947368421
1CT0_B	1A22_B	12.0	9.23063	11041.3	9.309398066521862	40.0
1CT2_A	1A22_B	16.0	10.7714	3832.76	8.251340449279848	26.31578947368421
1CT2_B	1A22_B	12.0	9.23063	11041.3	9.309398066521862	40.0
1CT4_A	1A22_B	16.0	10.7714	3832.76	8.251340449279848	26.31578947368421
1CT4_B	1A22_B	12.0	9.23063	10934.7	9.299696497892276	40.0
1E96_A	1A22_B	11.0	8.84543	14467.7	9.579673857440916	100.0
1E96_B	1A22_B	13.0	9.61583	8516.81	9.049797136567719	66.66666666666666
1EAW_A	1A22_B	26.0	14.6234	189.264	5.243142865803381	24.242424242424242
1EAW_B	1A22_B	0.0	0.0	inf	inf	0.0
1EFN_A	1A22_B	21.0	12.6974	866.141	6.764047712861059	40.0
1EFN_B	1A22_B	20.0	12.3122	1078.34	6.983178100627997	30.0
1EMV_A	1A22_B	0.0	0.0	inf	inf	0.0
1EMV_B	1A22_B	20.0	12.3122	1122.04	7.0229037360710596	27.083333333333332
1F47_A	1A22_B	0.0	0.0	inf	inf	0.0
1F47_B	1A22_B	24.0	13.853	364.329	5.8980573055676135	40.0
1FC2_A	1A22_B	0.0	0.0	inf	inf	0.0
1FC2_B	1A22_B	34.0	17.705	22.8393	3.128482736332161	38.88888888888889
1FCC_A	1A22_B	34.0	17.705	23.6552	3.1635829639194895	38.88888888888889
1FCC_B	1A22_B	18.0	11.5418	1885.77	7.542091504537236	66.66666666666666
1FFW_A	1A22_B	0.0	0.0	inf	inf	0.0
1FFW_B	1A22_B	12.0	9.23063	13561.9	9.515019669672878	66.66666666666666
1FR2_A	1A22_B	0.0	0.0	inf	inf	0.0
1FR2_B	1A22_B	20.0	12.3122	1071.81	6.977104087116124	27.083333333333332
1GC1_A	1A22_B	28.0	15.3938	112.926	4.726732736936482	29.411764705882355
1GC1_B	1A22_B	34.0	17.705	18.0186	2.8914045577081144	38.095238095238095
