wild_1	wild_2	score	bit_score	E_value	log_E_value	per_identity
1A22_A	1A22_A	952.0	371.318	1.82213e-136	-312.5515665007331	100.0
1A22_B	1A22_A	19.0	11.927	1038.76	6.945782973078795	100.0
1BP3_A	1A22_A	916.0	357.451	6.31158e-131	-299.79626114081424	96.23655913978494
1BP3_B	1A22_A	16.0	10.7714	2977.53	7.998849376745448	41.66666666666667
1C1Y_A	1A22_A	38.0	19.2458	4.31942	1.4631211339831787	36.36363636363637
1C1Y_B	1A22_A	0.0	0.0	inf	inf	0.0
1E50_A	1A22_A	0.0	0.0	inf	inf	0.0
1E50_B	1A22_A	24.0	13.853	265.487	5.581565875264752	36.36363636363637
1FC2_C	1A22_A	23.0	13.4678	231.303	5.443728539321894	44.44444444444444
1FC2_D	1A22_A	30.0	16.1642	43.938	3.7827795493069876	29.03225806451613
1FFW_A	1A22_A	15.0	10.3862	3342.86	8.114582006990968	46.666666666666664
1FFW_B	1A22_A	0.0	0.0	inf	inf	0.0
1GUA_A	1A22_A	38.0	19.2458	4.5633	1.5180460460036698	36.36363636363637
1GUA_B	1A22_A	0.0	0.0	inf	inf	0.0
1JTD_A	1A22_A	17.0	11.1566	1731.59	7.456795340545375	31.25
1JTD_B	1A22_A	29.0	15.779	61.2605	4.115135263304066	23.25581395348837
1JTG_A	1A22_A	18.0	11.5418	1583.9	7.367645439068375	31.25
1JTG_B	1A22_A	19.0	11.927	1170.94	7.065562124027093	55.55555555555556
1K8R_A	1A22_A	23.0	13.4678	394.121	5.97665796874934	29.411764705882355
1K8R_B	1A22_A	22.0	13.0826	381.003	5.942807249111449	27.77777777777778
1LFD_A	1A22_A	17.0	11.1566	2012.64	7.6072025720905625	20.0
1LFD_B	1A22_A	23.0	13.4678	380.26	5.94085522928144	29.411764705882355
1WQJ_B	1A22_A	13.0	9.61583	5755.63	8.657933785190641	22.58064516129032
1WQJ_I	1A22_A	11.0	8.84543	12597.3	9.44123778426282	66.66666666666666
1YCS_A	1A22_A	28.0	15.3938	90.3122	4.503272556501926	25.806451612903224
1YCS_B	1A22_A	26.0	14.6234	161.585	5.085031319996609	42.857142857142854
2AW2_A	1A22_A	0.0	0.0	inf	inf	0.0
2AW2_B	1A22_A	16.0	10.7714	2576.36	7.854132829012701	20.0
2C5D_A	1A22_A	34.0	17.705	15.6383	2.7497230335571907	26.923076923076923
2C5D_C	1A22_A	17.0	11.1566	1831.89	7.51310349976326	20.0
2DVW_A	1A22_A	17.0	11.1566	2159.87	7.6778033136818244	60.0
2DVW_B	1A22_A	27.0	15.0086	89.9333	4.499068284460555	42.857142857142854
2G2U_A	1A22_A	18.0	11.5418	1701.36	7.439183210214872	23.809523809523807
2G2U_B	1A22_A	19.0	11.927	1170.94	7.065562124027093	55.55555555555556
2KSO_A	1A22_A	0.0	0.0	inf	inf	0.0
2KSO_B	1A22_A	0.0	0.0	inf	inf	0.0
2REX_A	1A22_A	12.0	9.23063	8088.1	8.998149124619918	66.66666666666666
2REX_B	1A22_A	20.0	12.3122	801.799	6.686857953013815	31.25
2WPT_A	1A22_A	25.0	14.2382	154.418	5.039663211106601	24.137931034482758
2WPT_B	1A22_A	32.0	16.9346	25.8062	3.2506147731352497	25.925925925925924
3BT1_A	1A22_A	35.0	18.0902	10.5587	2.3569501646393363	42.857142857142854
3BT1_U	1A22_A	33.0	17.3198	19.1424	2.951905770013437	32.142857142857146
3BX1_A	1A22_A	39.0	19.631	3.59572	1.2797442492841327	25.454545454545453
3BX1_C	1A22_A	51.0	24.2534	0.0858569	-2.455073322125212	23.076923076923077
3EG5_A	1A22_A	35.0	18.0902	11.7835	2.466700247846013	28.57142857142857
3EG5_B	1A22_A	23.0	13.4678	384.508	5.951964594971124	40.0
3F1S_A	1A22_A	29.0	15.779	70.9033	4.2613169768836965	36.84210526315789
3F1S_B	1A22_A	14.0	10.001	5086.51	8.53434721622027	28.57142857142857
3KUD_A	1A22_A	22.0	13.0826	401.128	5.994280578367463	22.5
3KUD_B	1A22_A	0.0	0.0	inf	inf	0.0
3LB6_A	1A22_A	0.0	0.0	inf	inf	0.0
3LB6_C	1A22_A	28.0	15.3938	91.6864	4.518374058557885	35.294117647058826
3MZG_A	1A22_A	160.0	66.2402	1.42235e-16	-36.489051054601084	25.520833333333332
3MZG_B	1A22_A	16.0	10.7714	2899.23	7.972200463477242	41.66666666666667
3N06_A	1A22_A	150.0	62.3882	4.00654e-15	-33.15084836894817	25.0
3N06_B	1A22_A	16.0	10.7714	2899.23	7.972200463477242	41.66666666666667
3N0P_A	1A22_A	150.0	62.3882	4.00654e-15	-33.15084836894817	25.0
3N0P_B	1A22_A	16.0	10.7714	2899.23	7.972200463477242	41.66666666666667
3N4I_A	1A22_A	17.0	11.1566	1763.1	7.474828902286714	23.809523809523807
3N4I_B	1A22_A	19.0	11.927	1170.94	7.065562124027093	55.55555555555556
3NCB_A	1A22_A	159.0	65.855	1.8819e-16	-36.20907958311606	25.520833333333332
3NCB_B	1A22_A	16.0	10.7714	2899.23	7.972200463477242	41.66666666666667
3NCC_A	1A22_A	160.0	66.2402	1.42235e-16	-36.489051054601084	25.520833333333332
3NCC_B	1A22_A	16.0	10.7714	2925.34	7.981165992226931	41.66666666666667
3NVN_A	1A22_A	24.0	13.853	275.994	5.620379126350417	37.5
3NVN_B	1A22_A	36.0	18.4754	9.11232	2.209627344053262	35.294117647058826
3Q3J_A	1A22_A	22.0	13.0826	377.987	5.934859803493794	33.33333333333333
3Q3J_B	1A22_A	15.0	10.3862	3595.5	8.18743834254255	60.0
3QHY_A	1A22_A	32.0	16.9346	28.1776	3.338527336058684	40.909090909090914
3QHY_B	1A22_A	29.0	15.779	60.6671	4.105401541240318	23.25581395348837
3RF3_A	1A22_A	17.0	11.1566	2163.24	7.679362376801946	50.0
3RF3_C	1A22_A	0.0	0.0	inf	inf	0.0
3S9D_A	1A22_A	26.0	14.6234	127.312	4.846640766635179	83.33333333333334
3S9D_B	1A22_A	24.0	13.853	266.407	5.585025214597295	50.0
3SE3_A	1A22_A	32.0	16.9346	28.7951	3.360205233777749	35.483870967741936
3SE3_B	1A22_A	26.0	14.6234	131.107	4.87601378369968	83.33333333333334
3SF4_A	1A22_A	35.0	18.0902	12.7606	2.5463622987547208	50.0
3SF4_D	1A22_A	0.0	0.0	inf	inf	0.0
3U82_A	1A22_A	30.0	16.1642	41.1875	3.718134812262726	37.5
3U82_B	1A22_A	29.0	15.779	74.6098	4.312271865874013	24.324324324324326
3WWN_A	1A22_A	26.0	14.6234	157.858	5.061695894746052	33.33333333333333
3WWN_B	1A22_A	0.0	0.0	inf	inf	0.0
4BFI_A	1A22_A	29.0	15.779	56.8679	4.040731034313722	31.03448275862069
4BFI_B	1A22_A	26.0	14.6234	155.241	5.044978748118711	19.047619047619047
4EKD_A	1A22_A	24.0	13.853	256.862	5.548538975697351	23.809523809523807
4EKD_B	1A22_A	23.0	13.4678	347.573	5.850974714885272	35.714285714285715
4FZA_A	1A22_A	27.0	15.0086	130.629	4.8723612442598006	23.809523809523807
4FZA_B	1A22_A	24.0	13.853	296.725	5.692805783942569	25.0
4G0N_A	1A22_A	23.0	13.4678	379.601	5.939120701084252	29.411764705882355
4G0N_B	1A22_A	0.0	0.0	inf	inf	0.0
4G2V_A	1A22_A	35.0	18.0902	12.2782	2.5078253321705666	50.0
4G2V_B	1A22_A	0.0	0.0	inf	inf	0.0
4HRN_A	1A22_A	0.0	0.0	inf	inf	0.0
4HRN_D	1A22_A	17.0	11.1566	1775.81	7.482011935847153	37.5
4L0P_A	1A22_A	18.0	11.5418	1553.57	7.348310787360919	20.0
4L0P_B	1A22_A	14.0	10.001	4392.79	8.387719839509694	66.66666666666666
4MYW_A	1A22_A	30.0	16.1642	41.2126	3.718744034843192	42.857142857142854
4MYW_B	1A22_A	29.0	15.779	71.4119	4.26846452212486	24.324324324324326
4NZW_A	1A22_A	27.0	15.0086	105.06	4.654531615525816	23.809523809523807
4NZW_B	1A22_A	21.0	12.6974	552.846	6.315079481726639	27.586206896551722
4O27_A	1A22_A	27.0	15.0086	124.96	4.827993686091376	23.809523809523807
4O27_B	1A22_A	24.0	13.853	283.763	5.6481393827241115	30.0
4OFY_A	1A22_A	0.0	0.0	inf	inf	0.0
4OFY_D	1A22_A	40.0	20.0162	2.67295	0.9831827314075694	34.48275862068966
4RA0_A	1A22_A	34.0	17.705	15.9394	2.768794031499294	26.923076923076923
4RA0_C	1A22_A	17.0	11.1566	1950.76	7.575974319217232	20.0
4RS1_A	1A22_A	0.0	0.0	inf	inf	0.0
4RS1_B	1A22_A	38.0	19.2458	4.45609	1.4942716999075514	21.875
4WND_A	1A22_A	35.0	18.0902	12.4256	2.519758860555211	50.0
4WND_B	1A22_A	0.0	0.0	inf	inf	0.0
4Y61_A	1A22_A	25.0	14.2382	186.966	5.2309267821418395	41.66666666666667
4Y61_B	1A22_A	0.0	0.0	inf	inf	0.0
4YEB_A	1A22_A	24.0	13.853	277.813	5.626948225481632	26.666666666666668
4YEB_B	1A22_A	30.0	16.1642	51.1704	3.9351612398667677	37.5
4YFD_A	1A22_A	25.0	14.2382	184.017	5.21502814464552	41.66666666666667
4YFD_B	1A22_A	29.0	15.779	60.6223	4.104662812183412	28.8135593220339
5CXB_A	1A22_A	24.0	13.853	273.364	5.610804240418738	42.10526315789473
5CXB_B	1A22_A	30.0	16.1642	55.8927	4.0234337812935	21.27659574468085
5CYK_A	1A22_A	24.0	13.853	263.616	5.574493498813616	42.10526315789473
5CYK_B	1A22_A	30.0	16.1642	56.8683	4.040738068134089	21.27659574468085
5F4E_A	1A22_A	27.0	15.0086	109.922	4.699771023359458	20.37037037037037
5F4E_B	1A22_A	48.0	23.0978	0.254618	-1.3679908962219975	30.612244897959183
5K39_A	1A22_A	16.0	10.7714	2394.55	7.780950600750707	27.027027027027028
5K39_B	1A22_A	15.0	10.3862	3167.37	8.060656869521958	28.57142857142857
5M2O_A	1A22_A	0.0	0.0	inf	inf	0.0
5M2O_B	1A22_A	0.0	0.0	inf	inf	0.0
5TAR_A	1A22_A	24.0	13.853	248.328	5.514750452970759	38.46153846153847
5TAR_B	1A22_A	18.0	11.5418	1616.52	7.388030969498477	31.57894736842105
5UFE_A	1A22_A	24.0	13.853	230.373	5.439699734454744	38.46153846153847
5UFE_B	1A22_A	12.0	9.23063	7985.47	8.985378919280091	50.0
1A22_A	1A22_B	19.0	11.927	1159.08	7.0553818659792045	100.0
1A22_B	1A22_B	1032.0	402.134	2.81174e-148	-339.74879025432705	100.0
1BP3_A	1A22_B	19.0	11.927	1129.86	7.029849010225605	100.0
1BP3_B	1A22_B	259.0	104.375	7.95962e-31	-69.30575662279212	31.770833333333332
1C1Y_A	1A22_B	18.0	11.5418	1383.77	7.232566937396264	31.818181818181817
1C1Y_B	1A22_B	10.0	8.46023	14517.7	9.583123873627976	100.0
1E50_A	1A22_B	22.0	13.0826	448.312	6.10548941859257	50.0
1E50_B	1A22_B	28.0	15.3938	89.0429	4.489118276068536	33.33333333333333
1FC2_C	1A22_B	0.0	0.0	inf	inf	0.0
1FC2_D	1A22_B	34.0	17.705	17.1465	2.841794071151806	38.88888888888889
1FFW_A	1A22_B	0.0	0.0	inf	inf	0.0
1FFW_B	1A22_B	12.0	9.23063	10181.6	9.228337448677838	66.66666666666666
1GUA_A	1A22_B	18.0	11.5418	1383.77	7.232566937396264	31.818181818181817
1GUA_B	1A22_B	11.0	8.84543	14401.3	9.575073759267076	100.0
1JTD_A	1A22_B	28.0	15.3938	89.9444	4.499191701649168	30.0
1JTD_B	1A22_B	17.0	11.1566	2291.92	7.737145173211509	60.0
1JTG_A	1A22_B	28.0	15.3938	84.4818	4.4365361265491465	30.0
1JTG_B	1A22_B	31.0	16.5494	36.5937	3.5998760944435135	29.268292682926827
1K8R_A	1A22_B	0.0	0.0	inf	inf	0.0
1K8R_B	1A22_B	15.0	10.3862	3557.8	8.17689765529117	21.428571428571427
1LFD_A	1A22_B	15.0	10.3862	4209.92	8.345198924120583	20.0
1LFD_B	1A22_B	0.0	0.0	inf	inf	0.0
1WQJ_B	1A22_B	28.0	15.3938	73.4646	4.296803657543468	50.0
1WQJ_I	1A22_B	33.0	17.3198	12.071	2.49080588171899	75.0
1YCS_A	1A22_B	22.0	13.0826	526.387	6.266036683657522	80.0
1YCS_B	1A22_B	16.0	10.7714	2852.97	7.956115835911106	20.0
2AW2_A	1A22_B	32.0	16.9346	25.8141	3.2509208542723864	25.64102564102564
2AW2_B	1A22_B	36.0	18.4754	6.34217	1.8472209811810532	28.000000000000004
2C5D_A	1A22_B	33.0	17.3198	22.7076	3.122699670215868	33.33333333333333
2C5D_C	1A22_B	25.0	14.2382	221.563	5.400706973423477	18.96551724137931
2DVW_A	1A22_B	21.0	12.6974	728.692	6.5912511461611905	45.45454545454545
2DVW_B	1A22_B	0.0	0.0	inf	inf	0.0
2G2U_A	1A22_B	20.0	12.3122	809.165	6.696002851763014	20.0
2G2U_B	1A22_B	31.0	16.5494	36.5937	3.5998760944435135	29.268292682926827
2KSO_A	1A22_B	18.0	11.5418	1306.35	7.174992267806858	28.57142857142857
2KSO_B	1A22_B	29.0	15.779	47.104	3.852357923106411	25.925925925925924
2REX_A	1A22_B	27.0	15.0086	103.176	4.6364362678620905	25.0
2REX_B	1A22_B	13.0	9.61583	7663.98	8.94428671004395	66.66666666666666
2WPT_A	1A22_B	15.0	10.3862	3944.28	8.280021707117385	66.66666666666666
2WPT_B	1A22_B	18.0	11.5418	1433.48	7.2678603333600345	22.857142857142858
3BT1_A	1A22_B	16.0	10.7714	2710.47	7.904877330570519	60.0
3BT1_U	1A22_B	32.0	16.9346	29.612	3.388179684580852	50.0
3BX1_A	1A22_B	29.0	15.779	68.3658	4.224872699586823	23.809523809523807
3BX1_C	1A22_B	28.0	15.3938	84.9724	4.442326497879594	27.586206896551722
3EG5_A	1A22_B	16.0	10.7714	3090.81	8.036188471462504	33.33333333333333
3EG5_B	1A22_B	15.0	10.3862	3869.02	8.260756523981543	75.0
3F1S_A	1A22_B	28.0	15.3938	109.019	4.69152217896519	33.33333333333333
3F1S_B	1A22_B	29.0	15.779	68.6877	4.229570143897544	28.985507246376812
3KUD_A	1A22_B	0.0	0.0	inf	inf	0.0
3KUD_B	1A22_B	10.0	8.46023	14536.4	9.584411127584023	100.0
3LB6_A	1A22_B	35.0	18.0902	8.5034	2.1404660835175977	63.63636363636363
3LB6_C	1A22_B	53.0	25.0238	0.0789029	-2.539537296419206	28.57142857142857
3MZG_A	1A22_B	13.0	9.61583	5845.32	8.673396620055133	27.027027027027028
3MZG_B	1A22_B	246.0	99.3673	7.56176e-29	-64.75186372949779	30.808080808080806
3N06_A	1A22_B	13.0	9.61583	6058.68	8.709247233554573	27.027027027027028
3N06_B	1A22_B	246.0	99.3673	7.56176e-29	-64.75186372949779	30.808080808080806
3N0P_A	1A22_B	13.0	9.61583	6058.68	8.709247233554573	27.027027027027028
3N0P_B	1A22_B	246.0	99.3673	7.56176e-29	-64.75186372949779	30.808080808080806
3N4I_A	1A22_B	24.0	13.853	328.917	5.795805439302253	20.833333333333336
3N4I_B	1A22_B	31.0	16.5494	36.5937	3.5998760944435135	29.268292682926827
3NCB_A	1A22_B	13.0	9.61583	6058.68	8.709247233554573	27.027027027027028
3NCB_B	1A22_B	246.0	99.3673	7.56176e-29	-64.75186372949779	30.808080808080806
3NCC_A	1A22_B	13.0	9.61583	5845.32	8.673396620055133	27.027027027027028
3NCC_B	1A22_B	248.0	100.138	4.25194e-29	-65.32759234745377	30.808080808080806
3NVN_A	1A22_B	32.0	16.9346	30.7087	3.4245460020686136	30.76923076923077
3NVN_B	1A22_B	33.0	17.3198	24.3875	3.1940707059492297	45.45454545454545
3Q3J_A	1A22_B	18.0	11.5418	1398.16	7.242912365458106	37.5
3Q3J_B	1A22_B	15.0	10.3862	3568.77	8.17997627759177	42.857142857142854
3QHY_A	1A22_B	25.0	14.2382	200.883	5.302722649026942	23.076923076923077
3QHY_B	1A22_B	17.0	11.1566	2291.71	7.7370535427787965	60.0
3RF3_A	1A22_B	24.0	13.853	260.228	5.561558169820045	57.14285714285714
3RF3_C	1A22_B	0.0	0.0	inf	inf	0.0
3S9D_A	1A22_B	0.0	0.0	inf	inf	0.0
3S9D_B	1A22_B	22.0	13.0826	543.313	6.297685581119545	30.0
3SE3_A	1A22_B	38.0	19.2458	6.12968	1.8131425463016835	25.581395348837212
3SE3_B	1A22_B	0.0	0.0	inf	inf	0.0
3SF4_A	1A22_B	16.0	10.7714	2816.07	7.943097574923525	27.77777777777778
3SF4_D	1A22_B	15.0	10.3862	4196.98	8.342120498013683	23.076923076923077
3U82_A	1A22_B	30.0	16.1642	55.1326	4.00974119274475	66.66666666666666
3U82_B	1A22_B	35.0	18.0902	12.9622	2.5620374296041235	21.666666666666668
3WWN_A	1A22_B	22.0	13.0826	473.91	6.161017430249116	26.31578947368421
3WWN_B	1A22_B	25.0	14.2382	129.919	4.866911179339411	43.75
4BFI_A	1A22_B	23.0	13.4678	373.731	5.923536287292295	50.0
4BFI_B	1A22_B	19.0	11.927	1356.71	7.2128179302903686	20.833333333333336
4EKD_A	1A22_B	19.0	11.927	1101.07	7.004037713266589	44.44444444444444
4EKD_B	1A22_B	18.0	11.5418	1703.92	7.440686757930345	21.73913043478261
4FZA_A	1A22_B	20.0	12.3122	1017.21	6.924818864408017	25.0
4FZA_B	1A22_B	28.0	15.3938	80.6475	4.390087805950654	50.0
4G0N_A	1A22_B	13.0	9.61583	5804.3	8.66635430115897	28.57142857142857
4G0N_B	1A22_B	10.0	8.46023	14772.4	9.600515853862005	100.0
4G2V_A	1A22_B	21.0	12.6974	652.891	6.481410193444492	38.095238095238095
4G2V_B	1A22_B	0.0	0.0	inf	inf	0.0
4HRN_A	1A22_B	23.0	13.4678	335.853	5.816673564232157	35.714285714285715
4HRN_D	1A22_B	17.0	11.1566	1755.3	7.4703950614623	28.57142857142857
4L0P_A	1A22_B	28.0	15.3938	91.7163	4.518700117010296	21.875
4L0P_B	1A22_B	18.0	11.5418	1707.47	7.442768021744479	100.0
4MYW_A	1A22_B	29.0	15.779	63.6621	4.153589409057271	28.57142857142857
4MYW_B	1A22_B	35.0	18.0902	12.3034	2.509875646944866	21.666666666666668
4NZW_A	1A22_B	29.0	15.779	77.1398	4.345619360088103	41.17647058823529
4NZW_B	1A22_B	28.0	15.3938	80.9144	4.393391805752578	50.0
4O27_A	1A22_B	20.0	12.3122	822.458	6.712297417505938	40.0
4O27_B	1A22_B	28.0	15.3938	85.0883	4.443689540815958	50.0
4OFY_A	1A22_B	35.0	18.0902	12.5395	2.528883662001556	23.076923076923077
4OFY_D	1A22_B	29.0	15.779	78.8358	4.36736720841496	33.33333333333333
4RA0_A	1A22_B	33.0	17.3198	20.9919	3.0441366490308197	33.33333333333333
4RA0_C	1A22_B	26.0	14.6234	138.411	4.9302275197940055	35.714285714285715
4RS1_A	1A22_B	13.0	9.61583	7236.38	8.88687636033808	66.66666666666666
4RS1_B	1A22_B	40.0	20.0162	3.23683	1.1745944558016401	21.53846153846154
4WND_A	1A22_B	17.0	11.1566	2358.6	7.76582350165587	27.77777777777778
4WND_B	1A22_B	0.0	0.0	inf	inf	0.0
4Y61_A	1A22_B	31.0	16.5494	43.0711	3.762852238558783	24.324324324324326
4Y61_B	1A22_B	20.0	12.3122	920.431	6.8248420386022755	26.666666666666668
4YEB_A	1A22_B	19.0	11.927	1218.85	7.105663070228085	26.31578947368421
4YEB_B	1A22_B	25.0	14.2382	213.371	5.363032434600284	50.0
4YFD_A	1A22_B	32.0	16.9346	28.9161	3.3643985334250575	31.746031746031743
4YFD_B	1A22_B	25.0	14.2382	229.134	5.4343069852575026	80.0
5CXB_A	1A22_B	28.0	15.3938	109.279	4.69390424497534	21.84873949579832
5CXB_B	1A22_B	29.0	15.779	79.3987	4.374481995323085	40.0
5CYK_A	1A22_B	25.0	14.2382	252.519	5.531486493409214	22.89156626506024
